n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status
451,Łódź,Poland,Europe,Sąd Rejonowy dla Łodzi-Śródmieścia w Łodzi,51.757040,19.455850,208.0,235.0,,,51.7592,19.456,Sąd Rejonowy dla Łodzi-Śródmieścia w Łodzi (public),241,1439,yes,way/104511738,snapped
452,Szczecin,Poland,Europe,Kaskada,53.428254,14.550364,26.0,53.0,,,53.4285,14.5528,Kaskada (retail),164,20902,,way/35319011,snapped
453,Bydgoszcz,Poland,Europe,Pałac Młodzieży,53.123620,18.011430,36.0,63.0,,,53.1235,18.0084,Pałac Młodzieży (community centre),203,2602,yes,way/46236346,snapped
454,Toruń,Poland,Europe,Stare Miasto (moved 250 m N: Earth Studio freezes at the PDF point and at Cinema City 150 m SE),53.016,18.5984,50.0,77.0,,,53.016,18.5984,(hand-kept: snapped point freezes in Earth Studio),0,5095,yes,way/49906179,kept
455,Lublin,Poland,Europe,Archikatedra Świętego Jana Chrzciciela i Świętego Jana Ewangelisty,51.246728,22.568723,199.0,226.0,562.5,281,51.2465,22.5684,Archikatedra Świętego Jana Chrzciciela i Świętego Jana Ewangelisty (church),34,1972,yes,way/66286341,snapped
456,Katowice,Poland,Europe,Międzynarodowe Centrum Kongresowe,50.266137,19.027573,276.0,303.0,,,50.2649,19.0238,Międzynarodowe Centrum Kongresowe (conference centre),302,21207,yes,way/332311304,snapped
457,Rzeszów,Poland,Europe,Galeria Rzeszów,50.042454,21.997810,203.0,230.0,,,50.0412,21.9991,Galeria Rzeszów (retail),167,20900,,way/214233129,snapped
458,Białystok,Poland,Europe,Pałac Branickich,53.130685,23.165235,139.0,166.0,,,53.1325,23.1688,Pałac Branickich (attraction),312,3963,yes,way/242871669,snapped
459,Kielce,Poland,Europe,Wojewódzki Dom Kultury,50.863249,20.626956,274.0,301.0,,,50.8661,20.6286,Wojewódzki Dom Kultury (civic),338,2504,yes,way/134572547,snapped
460,Opole,Poland,Europe,Kaufland,50.676579,17.918768,163.0,190.0,,,50.6751,17.9213,Kaufland (retail),243,6024,,way/207030953,snapped
461,Olsztyn,Poland,Europe,Aura Centrum Olsztyna,53.777101,20.482934,118.0,145.0,,,53.7784,20.4801,Aura Centrum Olsztyna (retail),236,15744,,way/104358824,snapped
462,Brno,Czechia,Europe,Stará radnice,49.193043,16.608259,231.0,258.0,,,49.1951,16.6068,Stará radnice (civic),252,2024,yes,way/50002035,snapped
463,Ostrava,Czechia,Europe,Moravská Ostrava,49.819512,18.267466,231.0,258.0,,,49.8209,18.2625,"unnamed industrial, 30,913 m²",389,30913,,way/77402744,snapped
464,Plzeň,Czechia,Europe,LOGSPEED CZ Aréna,49.736763,13.377522,324.0,351.0,,,49.7384,13.3736,LOGSPEED CZ Aréna (civic),336,6162,yes,way/385215687,snapped
465,Liberec,Czechia,Europe,OD Forum Liberec,50.765788,15.055381,354.0,381.0,,,50.7663,15.0543,OD Forum Liberec (retail),95,21305,,way/197991615,snapped
466,Pardubice,Czechia,Europe,Centrum,50.033767,15.782453,221.0,248.0,,,50.0343,15.7812,"unnamed civic, 4,192 m²",107,4192,yes,way/37014900,snapped
467,Zlín,Czechia,Europe,Dům kultury - Areál Svit budova 2,49.224335,17.660675,227.0,254.0,,,49.2244,17.6628,Dům kultury - Areál Svit budova 2 (community centre),155,3029,yes,way/71289004,snapped
468,Jihlava,Czechia,Europe,Centrum,49.3961,15.5912,525.0,552.0,,,49.3961,15.5912,"unnamed civic, 1,078 m²",0,1078,yes,way/40692336,kept
469,Karlovy Vary,Czechia,Europe,Městská Tržnice (Karlovy Vary),50.231570,12.870041,379.0,406.0,,,50.2319,12.8719,Městská Tržnice (Karlovy Vary) (civic),137,2558,yes,way/62149720,snapped
470,Braga,Portugal,Europe,São Marcos - Unidade Clínica de Ambulatório,41.547610,-8.423072,176.0,203.0,,,41.5454,-8.4265,São Marcos - Unidade Clínica de Ambulatório (hospital),377,3501,yes,way/146343017,snapped
471,Coimbra,Portugal,Europe,Igreja de São José,40.202729,-8.409753,43.0,70.0,,,40.2033,-8.4103,Igreja de São José (church),79,2315,yes,way/174739237,snapped
472,Aveiro,Portugal,Europe,Teatro Aveirense,40.640128,-8.654099,15.0,42.0,,,40.6405,-8.6538,Teatro Aveirense (civic),49,1161,yes,way/243899308,snapped
473,Faro,Portugal,Europe,Mercado Municipal de Faro,37.020208,-7.928564,20.0,47.0,,,37.0194,-7.9304,Mercado Municipal de Faro (retail),186,5979,,way/103085517,snapped
474,Setúbal,Portugal,Europe,Centro Setúbal,38.5244,-8.8882,16.0,43.0,,,38.5244,-8.8882,Igreja de Santa Maria da Graça (church),0,1455,yes,way/553359798,kept
475,Évora,Portugal,Europe,Teatro Garcia de Resende,38.572759,-7.913299,299.0,326.0,,,38.5714,-7.9135,Teatro Garcia de Resende (theatre),152,1618,yes,way/154409866,snapped
476,Viseu,Portugal,Europe,Seminário Maior,40.655816,-7.908807,474.0,501.0,,,40.6566,-7.9125,Seminário Maior (no),324,23454,,way/635802891,snapped
477,Leiria,Portugal,Europe,Hospital Dom Manuel de Aguiar,39.743932,-8.804918,40.0,67.0,,,39.7436,-8.8071,Hospital Dom Manuel de Aguiar (hospital),190,1885,yes,way/256378031,snapped
478,Guimarães,Portugal,Europe,Museu de Alberto Sampaio,41.442810,-8.292201,194.0,221.0,,,41.4425,-8.2918,Museu de Alberto Sampaio (museum),48,1361,yes,way/255483376,snapped
479,Funchal,Portugal,Europe,Igreja de São Roque,32.668886,-16.922996,351.0,378.0,,,32.6669,-16.9241,Igreja de São Roque (church),244,782,yes,way/164965396,snapped
480,Aarhus,Denmark,Europe,Tandlægeskolen,56.164679,10.205816,30.0,57.0,,,56.1629,10.2039,Tandlægeskolen (university),231,3655,yes,way/468773793,snapped
481,Aalborg,Denmark,Europe,Salling,57.047848,9.922473,11.0,38.0,,,57.0488,9.9217,Salling (building),116,6391,,way/88970664,snapped
482,Odense,Denmark,Europe,Bykirken,55.401466,10.399093,12.0,39.0,,,55.4038,10.4024,Bykirken (church),333,1033,yes,way/535366096,snapped
483,Malmö,Sweden,Europe,Malmö Centrum,55.605,13.0038,15.0,42.0,,,55.605,13.0038,"unnamed building, 3,128 m²",0,3128,,way/51790946,kept
484,Gothenburg,Sweden,Europe,Centralhuset,57.709253,11.972867,4.0,31.0,,,57.7089,11.9746,Centralhuset (train station),110,8101,yes,way/13704178,snapped
485,Uppsala,Sweden,Europe,Uppsala stadsbibliotek,59.860776,17.636173,22.0,49.0,,,59.8586,17.6389,Uppsala stadsbibliotek (library),286,4778,yes,way/98942846,snapped
486,Västerås,Sweden,Europe,Punkt,59.609777,16.548119,22.0,49.0,,,59.6099,16.5448,Punkt (building),187,10961,,way/94574732,snapped
487,Örebro,Sweden,Europe,Rättscentrum,59.278530,15.214006,31.0,58.0,,,59.2753,15.2134,Rättscentrum (public),361,2822,yes,way/257685168,snapped
488,Bergen,Norway,Europe,Bergen Sentrum,60.3913,5.3221,12.0,39.0,,,60.3913,5.3221,"unnamed apartments, 371 m²",0,371,,way/472357478,kept
489,Trondheim,Norway,Europe,Statens Hus,63.428166,10.393519,10.0,37.0,,,63.4305,10.3951,Statens Hus (public),271,3661,yes,way/89511597,snapped
490,Stavanger,Norway,Europe,Sølvberget (Bibliotek og Kulturhus),58.971447,5.733415,16.0,43.0,,,58.97,5.7331,Sølvberget (Bibliotek og Kulturhus) (civic),162,3221,yes,way/31764610,snapped
491,Turku,Finland,Europe,Kauppahalli,60.449734,22.266079,19.0,46.0,,,60.4518,22.2666,Kauppahalli (retail),232,2050,yes,way/9166246,snapped
492,Kaunas,Lithuania,Europe,Kauno Tado Ivanausko zoologijos muziejus,54.898231,23.903971,34.0,61.0,,,54.8985,23.9036,Kauno Tado Ivanausko zoologijos muziejus (museum),38,1898,yes,way/92332244,snapped
493,Klaipėda,Lithuania,Europe,Klaipėda Centre,55.7033,21.1443,6.0,33.0,,,55.7033,21.1443,Elesen (building),0,1232,,way/88868672,kept
494,Šiauliai,Lithuania,Europe,City Centre,55.9349,23.3137,131.0,158.0,,,55.9349,23.3137,"unnamed public, 1,044 m²",0,1044,yes,way/115865433,kept
495,Daugavpils,Latvia,Europe,Daugavpils Vecticībnieku Pomoras Baznīca,55.872991,26.539753,112.0,139.0,,,55.8747,26.5362,Daugavpils Vecticībnieku Pomoras Baznīca (place of worship),292,660,yes,way/129571412,snapped
496,Liepāja,Latvia,Europe,Svētās Annas baznīca,56.504454,21.011836,10.0,37.0,,,56.5047,21.0108,Svētās Annas baznīca (church),69,1115,yes,way/89683307,snapped
